lat,lon,osm_category,osm_type,place_name
51.5171058,-0.0882479,amenity,restaurant,post office (take away)
51.5108433,-0.0780037,amenity,restaurant,natural kitchen
51.5189931,-0.0898621,amenity,restaurant,spagbowl
51.5142353,-0.0742784,amenity,restaurant,satyrio
51.5128692,-0.08687,amenity,restaurant,honest burger
51.5110863,-0.0842148,amenity,restaurant,murger han city
51.5096348,-0.0810362,amenity,restaurant,banhmi city
51.5138635,-0.089512,amenity,restaurant,the ned
51.5160121,-0.0772888,amenity,restaurant,fazenda
51.515513,-0.0872469,amenity,restaurant,natural kitchen
51.51519,-0.0970151,amenity,restaurant,rolled
51.5153389,-0.0753397,amenity,restaurant,sfoglia bologna
51.5141538,-0.0744667,amenity,restaurant,royal kitchen
51.512858,-0.095215,amenity,restaurant,bread street kitchen
51.5142985,-0.0761219,amenity,restaurant,vq
51.5184305,-0.0790288,amenity,restaurant,street greek
51.518727,-0.0987578,amenity,restaurant,stem + glory
51.5101377,-0.0779246,amenity,restaurant,mei ume
51.5187415,-0.0801147,amenity,restaurant,eataly
51.5098598,-0.0803913,amenity,restaurant,skewered
51.5154081,-0.07557,amenity,restaurant,mattarello bolognese
51.5167675,-0.079732,amenity,restaurant,café luca
51.5137823,-0.0960979,amenity,restaurant,the ivy asia
51.5107546,-0.0830837,amenity,music_school,london city brass
51.5103561,-0.0751511,amenity,restaurant,cento alla torre
51.518832,-0.079745,amenity,restaurant,pizzaexpress
51.518947,-0.0794948,amenity,restaurant,nest bar and kitchen
51.5187959,-0.0795741,amenity,restaurant,honi poke
51.5180985,-0.0794328,amenity,restaurant,truffle burger
51.512126,-0.0909107,amenity,restaurant,lina stores
51.5172751,-0.0821849,amenity,restaurant,jamaica patty co
51.5132865,-0.1013608,amenity,restaurant,donburi
51.5181206,-0.0986307,amenity,restaurant,half cup
51.5114211,-0.0774395,amenity,restaurant,munich cricket club
51.5137749,-0.10903,amenity,restaurant,chambers
51.5122603,-0.0808248,amenity,restaurant,14 hills
51.5142644,-0.0860159,amenity,restaurant,the salad project
51.5105439,-0.081697,amenity,restaurant,haz plantation place
51.5121863,-0.1044984,amenity,restaurant,the leaf and cane
51.5123017,-0.1045254,amenity,restaurant,city lounge
51.5141095,-0.1080711,amenity,restaurant,"garbanzos falafel, hummus & salad bar (fleet street)"
51.5155389,-0.0907643,amenity,restaurant,hawksmoor
51.5133332,-0.0949533,amenity,restaurant,street pizza
51.5129613,-0.0778583,amenity,restaurant,farmer j
51.5129655,-0.0758579,amenity,restaurant,cloud land
51.5179009,-0.1104704,amenity,restaurant,shoo loong kan hotpot london
51.5128182,-0.0937366,amenity,restaurant,eatviet
