postcode,latitude,longitude,district
BR1 1ZQ,51.408226,0.017604,Bromley
BR1 1ZR,51.404271,0.015359,Bromley
BR1 1ZS,51.408226,0.017604,Bromley
BR1 1ZU,51.408226,0.017604,Bromley
BR1 1ZW,51.404397,0.015393,Bromley
BR1 1ZX,51.408226,0.017604,Bromley
BR1 1ZY,51.404271,0.015359,Bromley
BR1 1ZZ,51.408226,0.017604,Bromley
BR1 2AA,51.403386,0.043644,Bromley
BR1 2AB,51.40175,0.054426,Bromley
BR1 2AD,51.404295,0.046675,Bromley
BR1 2AE,51.403326,0.047581,Bromley
BR1 2AF,51.403678,0.045972,Bromley
BR1 2AG,51.405404,0.052735,Bromley
BR1 2AH,51.403246,0.047031,Bromley
BR1 2AJ,51.405387,0.051641,Bromley
BR1 2AL,51.405557,0.055258,Bromley
BR1 2AN,51.404401,0.056601,Bromley
BR1 2AP,51.404927,0.055805,Bromley
BR1 2AQ,51.405097,0.050722,Bromley
BR1 2AR,51.403602,0.053416,Bromley
BR1 2AS,51.401768,0.046706,Bromley
BR1 2AT,51.401185,0.04714,Bromley
BR1 2AU,51.402756,0.048346,Bromley
BR1 2AW,51.403878,0.055643,Bromley
BR1 2AX,51.400928,0.049515,Bromley
BR1 2AY,51.401608,0.052234,Bromley
BR1 2AZ,51.401411,0.052729,Bromley
BR1 2BA,51.404835,0.049762,Bromley
BR1 2BB,51.404469,0.047546,Bromley
BR1 2BD,51.402736,0.050473,Bromley
BR1 2BE,51.402157,0.053279,Bromley
BR1 2BF,51.404349,0.05391,Bromley
BR1 2BG,51.391712,0.045812,Bromley
BR1 2BH,51.403799,0.05758,Bromley
BR1 2BJ,51.402541,0.05853,Bromley
BR1 2BL,51.399162,0.038352,Bromley
BR1 2BN,51.40041,0.038954,Bromley
BR1 2BP,51.399433,0.038292,Bromley
BR1 2BQ,51.402442,0.052904,Bromley
BR1 2BS,51.39836,0.03846,Bromley
BR1 2BT,51.398655,0.038545,Bromley
BR1 2BU,51.399358,0.043119,Bromley
BR1 2BW,51.399564,0.039535,Bromley
BR1 2BX,51.399512,0.044075,Bromley
BR1 2BY,51.398981,0.041004,Bromley
BR1 2BZ,51.398982,0.041464,Bromley
BR1 2DA,51.398597,0.042899,Bromley
BR1 2DB,51.398196,0.041127,Bromley
BR1 2DD,51.39779,0.040721,Bromley
BR1 2DE,51.398992,0.04191,Bromley
BR1 2DF,51.399024,0.042659,Bromley
BR1 2DG,51.399059,0.043236,Bromley
BR1 2DH,51.39703,0.041463,Bromley
BR1 2DJ,51.39822,0.042882,Bromley
BR1 2DL,51.397153,0.042173,Bromley
BR1 2DN,51.397503,0.042189,Bromley
BR1 2DP,51.398331,0.044741,Bromley
BR1 2DQ,51.399077,0.044243,Bromley
BR1 2DR,51.401056,0.038019,Bromley
BR1 2DS,51.400569,0.039622,Bromley
BR1 2DT,51.40071,0.038248,Bromley
BR1 2DU,51.400124,0.040911,Bromley
BR1 2DW,51.397756,0.042143,Bromley
BR1 2DX,51.400505,0.041805,Bromley
BR1 2DY,51.401258,0.043952,Bromley
BR1 2DZ,51.400661,0.037973,Bromley
BR1 2EA,51.398205,0.046288,Bromley
BR1 2EB,51.399372,0.045392,Bromley
BR1 2ED,51.391147,0.044148,Bromley
BR1 2EE,51.397572,0.04547,Bromley
BR1 2EF,51.397332,0.045286,Bromley
BR1 2EG,51.396696,0.043102,Bromley
BR1 2EH,51.397487,0.043654,Bromley
BR1 2EJ,51.395338,0.043113,Bromley
BR1 2EL,51.394236,0.045479,Bromley
BR1 2EN,51.395332,0.04501,Bromley
BR1 2EP,51.392007,0.045394,Bromley
BR1 2EQ,51.396394,0.043936,Bromley
BR1 2ER,51.391301,0.04463,Bromley
BR1 2ES,51.391586,0.043205,Bromley
BR1 2ET,51.392973,0.041585,Bromley
BR1 2EU,51.393073,0.042035,Bromley
BR1 2EW,51.39659,0.045555,Bromley
BR1 2EX,51.394327,0.042824,Bromley
BR1 2EY,51.393424,0.043057,Bromley
BR1 2EZ,51.393681,0.043241,Bromley
BR1 2FA,51.398723,0.062427,Bromley
BR1 2FB,51.397183,0.063551,Bromley
BR1 2FD,51.39719,0.061151,Bromley
BR1 2FE,51.398368,0.060629,Bromley
BR1 2FF,51.399182,0.061384,Bromley
BR1 2FG,51.397769,0.060904,Bromley
BR1 2FH,51.397653,0.062408,Bromley
BR1 2FJ,51.397813,0.061495,Bromley
BR1 2FL,51.397029,0.061575,Bromley
BR1 2FN,51.396529,0.061883,Bromley
BR1 2FP,51.396791,0.06234,Bromley
BR1 2FQ,51.398401,0.061795,Bromley
BR1 2FR,51.398344,0.063,Bromley
BR1 2FS,51.398616,0.062868,Bromley
BR1 2FT,51.398878,0.060767,Bromley
BR1 2FU,51.398201,0.062447,Bromley
BR1 2FW,51.398634,0.061834,Bromley
BR1 2FX,51.401123,0.05838,Bromley
BR1 2FY,51.400482,0.056986,Bromley
BR1 2GA,51.397671,0.048047,Bromley
BR1 2GB,51.402314,0.040663,Bromley
BR1 2GD,51.401161,0.052085,Bromley
BR1 2GE,51.400992,0.051488,Bromley
BR1 2GF,51.398669,0.059334,Bromley
BR1 2GJ,51.408703,0.041954,Bromley
BR1 2GL,51.396158,0.04867,Bromley
BR1 2GN,51.409519,0.034355,Bromley
BR1 2GP,51.401269,0.03199,Bromley
BR1 2GQ,51.405038,0.04379,Bromley
BR1 2GR,51.408226,0.017604,Bromley
BR1 2GY,51.408226,0.017604,Bromley
BR1 2GZ,51.397538,0.047394,Bromley
BR1 2HA,51.394592,0.043109,Bromley
BR1 2HB,51.392511,0.043289,Bromley
BR1 2HD,51.392772,0.043301,Bromley
BR1 2HE,51.39809,0.039972,Bromley
BR1 2HF,51.390738,0.04597,Bromley
BR1 2HG,51.399562,0.04737,Bromley
BR1 2HH,51.398838,0.051219,Bromley
BR1 2HJ,51.398592,0.047312,Bromley
BR1 2HL,51.400482,0.055462,Bromley
BR1 2HN,51.399285,0.052432,Bromley
BR1 2HP,51.400343,0.056217,Bromley
BR1 2HQ,51.398371,0.046598,Bromley
BR1 2HR,51.400209,0.05821,Bromley
BR1 2HS,51.399428,0.058117,Bromley
BR1 2HT,51.401651,0.056492,Bromley
BR1 2HU,51.402326,0.056939,Bromley
