borough_code,borough_name,avg_price,population,hectares,population_per_hectare,crime_count,amenity_count,amenity_diversity,crime_per_capita
E05000389,Kensington And Chelsea,1009102.3820224719,537493,3796.0,141.5945732345,44159,,,0.08215734902594081
E05000390,Kensington And Chelsea,1009102.3820224719,355039,2208.0,160.7966485425,44159,,,0.12437788524640955
E05000391,Kensington And Chelsea,1009102.3820224719,399825,4156.0,96.20428296349999,44159,,,0.11044582004627024
E05000392,Kensington And Chelsea,1009102.3820224719,348597,2908.0,119.875171945,44159,,,0.12667636267667248
E05000393,Kensington And Chelsea,1009102.3820224719,374514,2492.0,150.28651685,44159,,,0.11791014488109924
E05000394,Kensington And Chelsea,1009102.3820224719,310671,1952.0,159.1552254075,44159,,,0.14214072121311613
E05000395,Kensington And Chelsea,1009102.3820224719,402190,2420.0,166.194214875,44159,,,0.10979636490216067
E05000396,Kensington And Chelsea,1009102.3820224719,379174,2776.0,136.5900576375,44159,,,0.11646104426991302
E05000397,Kensington And Chelsea,1009102.3820224719,291290,3604.0,80.824084351,44159,,,0.15159806378523122
E05000398,Kensington And Chelsea,1009102.3820224719,361858,2836.0,127.59449930000001,44159,,,0.1220340575584898
E05000399,Kensington And Chelsea,1009102.3820224719,331342,2652.0,124.94042232249998,44159,,,0.13327317394112428
E05000400,Kingston Upon Thames,302272.0561797753,463516,10708.0,43.2868883075,22709,2.0,1.0,0.04899291502342961
E05000401,Kingston Upon Thames,302272.0561797753,458945,5808.0,79.01945592324999,22709,2.0,1.0,0.049480874614605236
E05000402,Kingston Upon Thames,302272.0561797753,511536,7520.0,68.023404255,22709,2.0,1.0,0.044393747458634385
E05000403,Kingston Upon Thames,302272.0561797753,680335,4964.0,137.0537872625,22709,2.0,1.0,0.03337914409812813
E05000404,Kingston Upon Thames,302272.0561797753,375639,7716.0,48.68312597175,22709,2.0,1.0,0.06045431917346175
E05000405,Kingston Upon Thames,302272.0561797753,451692,30208.0,14.95272775375,22709,2.0,1.0,0.0502754089069543
E05000406,Kingston Upon Thames,302272.0561797753,486089,17640.0,27.5560657605,22709,2.0,1.0,0.04671778213454738
E05000407,Kingston Upon Thames,302272.0561797753,430667,6588.0,65.3714329085,22709,2.0,1.0,0.05272983534842465
E05000408,Kingston Upon Thames,302272.0561797753,687920,7680.0,89.57291666875,22709,2.0,1.0,0.03301110594255146
E05000409,Kingston Upon Thames,302272.0561797753,607663,5392.0,112.6971439205,22709,2.0,1.0,0.03737104283130617
E05000410,Kingston Upon Thames,302272.0561797753,470775,7220.0,65.20429362925,22709,2.0,1.0,0.048237480749827415
E05000411,Kingston Upon Thames,302272.0561797753,410736,8668.0,47.38532533475,22709,2.0,1.0,0.05528855517899575
E05000412,Kingston Upon Thames,302272.0561797753,498718,5504.0,90.610101745,22709,2.0,1.0,0.04553475110182508
E05000413,Kingston Upon Thames,302272.0561797753,475337,6656.0,71.414813702,22709,2.0,1.0,0.04777452628345784
E05000414,Kingston Upon Thames,302272.0561797753,547476,10380.0,52.74335260074999,22709,2.0,1.0,0.04147944384776684
E05000415,Kingston Upon Thames,302272.0561797753,397645,6332.0,62.799273531000004,22709,2.0,1.0,0.05710872763394485
E05000416,Lambeth,308215.6853932584,500534,6136.0,81.57333767899999,74292,,,0.1484254815856665
E05000417,Lambeth,308215.6853932584,717857,4516.0,158.9585916725,74292,,,0.10349136387887839
E05000418,Lambeth,308215.6853932584,601373,5372.0,111.94583022525,74292,,,0.123537305465992
E05000419,Lambeth,308215.6853932584,629486,4480.0,140.510267855,74292,,,0.1180200989378636
E05000420,Lambeth,308215.6853932584,771534,4832.0,159.67177152,74292,,,0.09629128463554425
E05000421,Lambeth,308215.6853932584,714215,3412.0,209.32444314499998,74292,,,0.10401909789069118
E05000422,Lambeth,308215.6853932584,629200,6280.0,100.19108280075,74292,,,0.1180737444373808
E05000423,Lambeth,308215.6853932584,682212,8128.0,83.9335629925,74292,,,0.108898700110816
E05000424,Lambeth,308215.6853932584,640481,5892.0,108.7034962625,74292,,,0.11599407320435735
E05000425,Lambeth,308215.6853932584,813153,4236.0,191.96246459,74292,,,0.09136288004840418
E05000426,Lambeth,308215.6853932584,901137,5100.0,176.69352940250002,74292,,,0.08244251429027995
E05000427,Lambeth,308215.6853932584,704040,4648.0,151.47160069,74292,,,0.105522413499233
E05000428,Lambeth,308215.6853932584,675558,5796.0,116.5559006225,74292,,,0.10997131260380308
E05000429,Lambeth,308215.6853932584,652607,3476.0,187.74654775,74292,,,0.11383880344525879
E05000430,Lambeth,308215.6853932584,654621,5092.0,128.558719565,74292,,,0.1134885681944209
E05000431,Lambeth,308215.6853932584,618292,6792.0,91.03239104824999,74292,,,0.12015681910812367
E05000432,Lambeth,308215.6853932584,696014,5804.0,119.91971054999999,74292,,,0.10673923225682241
E05000433,Lambeth,308215.6853932584,674900,4332.0,155.79409048,74292,,,0.1100785301526152
E05000434,Lambeth,308215.6853932584,590190,6060.0,97.39108911175,74292,,,0.12587810705027194
E05000435,Lambeth,308215.6853932584,665899,4116.0,161.783041785,74292,,,0.11156646878881031
E05000436,Lambeth,308215.6853932584,673106,4516.0,149.04915855250002,74292,,,0.11037191764744335
E05000437,Lewisham,221370.7191011236,651060,12340.0,52.760129659250005,57999,,,0.08908395539581605
E05000438,Lewisham,221370.7191011236,638880,9252.0,69.053177691,57999,,,0.09078230653643876
